Duration,Unique viewers,Site visits,ICB
Last 7 days,4,11,BOB
Last 30 days,24,527,BOB
Last 90 days,-,1466,BOB
All time,158,10110,BOB
Last 7 days,4,21,Frimley
Last 30 days,11,160,Frimley
Last 90 days,-,810,Frimley
All time,40,1835,Frimley
Last 7 days,10,32,HIOW
Last 30 days,32,289,HIOW
Last 90 days,-,1607,HIOW
All time,190,11884,HIOW
Last 7 days,2,7,Somerset
Last 30 days,10,110,Somerset
Last 90 days,-,501,Somerset
All time,58,1618,Somerset
Last 7 days,2,9,Sussex
Last 30 days,8,36,Sussex
Last 90 days,-,247,Sussex
All time,81,2244,Sussex
