Content,Type,Last 7 days unique viewers,Last 7 days visits,ICB
Home.aspx,Site Page,3,5,BOB
UrgentAndEmergencyCare.aspx,Site Page,2,3,BOB
Community.aspx,Site Page,2,2,BOB
Performance.aspx,Site Page,2,3,BOB
MentalHealth.aspx,Site Page,2,3,BOB
ChildrenAndYoungPeople.aspx,Site Page,2,2,BOB
ContractAnalytics.aspx,Site Page,1,1,BOB
UEC_Board_Report_202425_M08_V01.xlsx,Document,1,2,BOB
Reading UA NEL Admissions 2425 M07 v1.5.xlsb,Document,1,1,BOB
BOB ACM Monitoring 2024-25 M07 v1.xlsm,Document,1,2,BOB
Home.aspx,Site Page,3,7,Frimley
PrimaryCare.aspx,Site Page,2,3,Frimley
UrgentAndEmergencyCare.aspx,Site Page,1,2,Frimley
2024-12-24 UEC Weekly BAF - Performance Briefing.pptx,Document,1,2,Frimley
Home.aspx,Site Page,6,10,HIOW
Community.aspx,Site Page,3,3,HIOW
Local-Care.aspx,Site Page,2,2,HIOW
Product-Catalogue-&-Monthly-Publications.aspx,Site Page,2,2,HIOW
MHandCYP.aspx,Site Page,1,1,HIOW
Population-and-inequalities.aspx,Site Page,1,1,HIOW
Contract-analytics.aspx,Site Page,1,1,HIOW
Workforce-Report.aspx,Site Page,1,1,HIOW
Planning.aspx,Site Page,1,1,HIOW
HIOW_591 Number of emergency admissions for ACSC M08 2425.xlsx,Document,1,1,HIOW
M07_2425 C5 Solent Childrens Services Dashboards 10R.xlsx,Document,1,1,HIOW
EL03 HIOW Waiting List and RTT - 2024_12_15.xlsx,Document,1,1,HIOW
HIOW_327 SEH Urgent Care Dashboard - M11 23_24.xlsx,Document,1,1,HIOW
HIOW Product Listing V4.xlsx,Document,1,1,HIOW
M07_2425 Solent Combined Occupied Bed Days Report (D15).xlsx,Document,1,1,HIOW
Home.aspx,Site Page,2,5,Somerset
Urgent-and-emergency-care.aspx,Site Page,1,1,Somerset
Maternity-&-women’s-health.aspx,Site Page,1,1,Somerset
Home.aspx,Site Page,1,4,Sussex
CPBI.aspx,Site Page,1,1,Sussex
Contract-analytics.aspx,Site Page,1,1,Sussex
