Date,Desktop visits,Mobile app visits,Mobile web visits,Tablet visits,Other device visits,ICB
2024-10-09 01:00:00,66,0,0,0,0,BOB
2024-10-10 01:00:00,28,0,0,0,0,BOB
2024-10-11 01:00:00,11,0,0,0,0,BOB
2024-10-12 01:00:00,0,0,0,0,0,BOB
2024-10-13 01:00:00,0,0,0,0,0,BOB
2024-10-14 01:00:00,38,0,0,0,0,BOB
2024-10-15 01:00:00,27,0,0,0,0,BOB
2024-10-16 01:00:00,23,0,0,0,0,BOB
2024-10-17 01:00:00,16,0,0,0,0,BOB
2024-10-18 01:00:00,17,0,0,0,0,BOB
2024-10-19 01:00:00,0,0,0,0,0,BOB
2024-10-20 01:00:00,0,0,0,0,0,BOB
2024-10-21 01:00:00,6,0,0,0,0,BOB
2024-10-22 01:00:00,12,0,0,0,0,BOB
2024-10-23 01:00:00,25,0,0,0,0,BOB
2024-10-24 01:00:00,13,0,0,0,0,BOB
2024-10-25 01:00:00,4,0,0,0,0,BOB
2024-10-26 01:00:00,0,0,0,0,0,BOB
2024-10-27 01:00:00,0,0,0,0,0,BOB
2024-10-28 00:00:00,6,0,0,0,0,BOB
2024-10-29 00:00:00,19,0,0,0,0,BOB
2024-10-30 00:00:00,9,0,0,0,0,BOB
2024-10-31 00:00:00,13,0,0,0,0,BOB
2024-11-01 00:00:00,12,0,0,0,0,BOB
2024-11-02 00:00:00,0,0,0,0,0,BOB
2024-11-03 00:00:00,0,0,0,0,0,BOB
2024-11-04 00:00:00,13,0,0,0,0,BOB
2024-11-05 00:00:00,21,0,0,0,0,BOB
2024-11-06 00:00:00,30,0,0,0,0,BOB
2024-11-07 00:00:00,106,0,0,0,0,BOB
2024-11-08 00:00:00,12,0,0,0,0,BOB
2024-11-09 00:00:00,0,0,0,0,0,BOB
2024-11-10 00:00:00,0,0,0,0,0,BOB
2024-11-11 00:00:00,0,0,0,0,0,BOB
2024-11-12 00:00:00,47,0,0,0,0,BOB
2024-11-13 00:00:00,29,0,0,0,0,BOB
2024-11-14 00:00:00,9,0,0,0,0,BOB
2024-11-15 00:00:00,21,0,0,0,0,BOB
2024-11-16 00:00:00,0,0,0,0,0,BOB
2024-11-17 00:00:00,0,0,0,0,0,BOB
2024-11-18 00:00:00,35,0,0,0,0,BOB
2024-11-19 00:00:00,72,0,0,0,0,BOB
2024-11-20 00:00:00,12,0,0,0,0,BOB
2024-11-21 00:00:00,18,0,0,0,0,BOB
2024-11-22 00:00:00,54,0,0,0,0,BOB
2024-11-23 00:00:00,0,0,0,0,0,BOB
2024-11-24 00:00:00,0,0,0,0,0,BOB
2024-11-25 00:00:00,11,0,0,0,0,BOB
2024-11-26 00:00:00,17,0,0,0,0,BOB
2024-11-27 00:00:00,25,0,0,0,0,BOB
2024-11-28 00:00:00,6,0,0,0,0,BOB
2024-11-29 00:00:00,4,0,0,0,0,BOB
2024-11-30 00:00:00,0,0,0,0,0,BOB
2024-12-01 00:00:00,0,0,0,0,0,BOB
2024-12-02 00:00:00,15,0,0,0,0,BOB
2024-12-03 00:00:00,13,0,0,0,0,BOB
2024-12-04 00:00:00,14,0,0,0,0,BOB
2024-12-05 00:00:00,4,0,0,0,0,BOB
2024-12-06 00:00:00,6,0,0,0,0,BOB
2024-12-07 00:00:00,0,0,0,0,0,BOB
